#Datasets	P10N Illumina	P10N Nanopore	P10N Illumina 16S	P10R Illumina	P10R Nanopore	P10V Illumina	P10V Nanopore	P10V Illumina 16S
"Primates"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Haplorrhini"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Simiiformes"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Catarrhini"	0.0	0.0	0.0	2.0	8.0	0.0	0.0	0.0
"Cercopithecoidea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cercopithecidae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cercopithecinae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Macaca"	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0
"Hominoidea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hominidae"	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0
"Homininae"	0.0	1.0	0.0	7.0	19.0	0.0	0.0	0.0
"Homo"	8.0	3.0	0.0	43.0	116.0	0.0	0.0	0.0
"Pan"	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
"Ponginae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pongo"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
"Protostomia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Ecdysozoa"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Panarthropoda"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Arthropoda"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Mandibulata"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pancrustacea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Hexapoda"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Insecta"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dicondylia"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Pterygota"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Neoptera"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Holometabola"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Diptera"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Brachycera"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Muscomorpha"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Eremoneura"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Cyclorrhapha"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Schizophora"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Acalyptratae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tephritoidea"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Tephritidae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"Dacinae"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
